"gender","age","counts_pictures","counts_profileVisits","counts_kisses","flirtInterests_chat","flirtInterests_friends","flirtInterests_date","connectedToFacebook","isVIP","isVerified","lang_count","lang_fr","lang_en","lang_de","lang_it","lang_es","lang_pt","countDetails","freshman","hasBirthday","highlighted"
FALSE,19,4,19957,530,"true","true","true","false","false","false",1,"false","false","true","false","false","false",0.810000002384186,"false","false","false"
FALSE,19,3,5021,199,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,20,5,36179,1484,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.310000002384186,"false","false","false"
FALSE,22,4,1025,14,"true","false","false","false","false","false",1,"true","false","false","false","false","false",0.769999980926514,"false","false","false"
FALSE,20,3,1024,28,"true","false","false","false","false","false",1,"true","false","false","false","false","false",0.850000023841858,"false","false","false"
FALSE,20,3,19073,1120,"true","true","false","false","false","false",1,"false","true","false","false","false","false",0.850000023841858,"false","false","false"
FALSE,20,30,17525,703,"true","true","false","false","false","false",2,"false","false","true","true","false","false",0.540000021457672,"false","false","false"
FALSE,21,3,9889,719,"false","true","false","false","false","false",1,"false","false","true","false","false","false",0,"false","false","false"
FALSE,25,19,10117,330,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.9200000166893,"false","false","false"
FALSE,22,8,6840,335,"false","true","false","false","false","false",1,"true","false","false","false","false","false",0.879999995231628,"false","false","false"
FALSE,22,7,6705,260,"true","true","false","false","false","true",1,"true","false","false","false","false","false",0.9200000166893,"false","false","false"
FALSE,23,11,4009,80,"true","true","true","false","false","true",1,"false","true","false","false","false","false",0.810000002384186,"false","false","false"
FALSE,23,19,42567,2108,"true","false","false","false","false","false",1,"false","false","true","false","false","false",0.620000004768372,"false","false","false"
FALSE,21,13,7788,419,"true","true","true","false","false","false",1,"true","false","false","false","false","false",1,"false","false","false"
FALSE,19,17,33453,1401,"true","true","true","false","false","true",1,"false","false","true","false","false","false",0.379999995231628,"false","false","false"
FALSE,21,6,4847,197,"true","true","false","false","true","false",1,"false","false","true","false","false","false",0.649999976158142,"false","false","false"
